Scan_ID,Conds,Group,ROI_FF_Mcond_r01_spl_l,ROI_FF_Mcond_r02_spl_r,ROI_FF_Mcond_r03_fef_l,ROI_FF_Mcond_r04_fef_r,ROI_FF_Mcond_r05_tpj_l,ROI_FF_Mcond_r06_tpj_r,ROI_FF_Mcond_r07_vfc_l,ROI_FF_Mcond_r08_vfc_r,ROI_FF_Mcond_r09_dacc_l,ROI_FF_Mcond_r10_dacc_r,ROI_FF_Mcond_r11_ai_l,ROI_FF_Mcond_r12_ai_r,ROI_FF_Mcond_r13_lo_l,ROI_FF_Mcond_r14_lo_r,ROI_FF_Mcond_r15_cuneus_b
17-05-20.4CBDPA,c2O,1,2.43E+00,4.90E+00,1.22E+00,5.34E+00,6.53E+00,2.45E+00,2.50E+00,5.54E+00,1.47E+00,-1.81E+00,4.64E+00,5.05E+00,3.27E+00,-1.07E+00,-2.79E+00
17-06-13.4CBDHA,c2O,1,8.86E+00,1.43E+01,-8.62E-02,3.58E+00,-1.21E+01,-1.51E+01,-7.71E+00,-4.70E+00,5.53E+00,4.07E+00,6.24E+00,4.47E+00,6.10E+00,7.33E+00,1.36E+01
17-07-01.4CBDHA,c2O,1,4.92E+00,1.27E+01,2.46E+00,1.09E+01,3.01E+00,9.80E+00,1.19E+01,2.47E+01,-3.85E+00,-2.63E+00,3.12E-01,3.56E+00,6.75E-01,1.74E+00,5.23E+00
17-07-02.1CBDHA,c2O,1,1.03E+01,1.25E+01,4.10E+00,6.09E+00,-9.47E+00,2.18E+01,1.06E+01,8.28E+00,-3.32E+00,1.07E+00,-1.19E+01,-9.39E+00,2.76E+00,-2.66E-01,2.00E+00
17-05-28.2CBDPA,c2O,1,-2.94E+00,-4.98E+00,-8.57E+00,-5.40E+00,2.22E-01,3.51E+00,-9.99E+00,-7.96E+00,-7.76E+00,-7.22E+00,3.53E+00,3.72E+00,-5.44E+00,-1.11E+01,3.15E+00
17-07-02.5CBDPA,c2O,1,-1.03E+01,-1.96E+01,-1.58E+01,-1.92E+01,-3.51E+01,-3.32E+01,-4.26E+00,-1.41E+01,-2.02E+01,-3.55E+01,-2.11E+01,-3.78E+01,-3.67E+01,-3.18E+01,-4.54E+01
17-06-24.4CBDHA,c2O,1,1.17E+01,1.84E+01,1.49E+01,1.42E+01,3.30E+00,-4.73E+00,1.01E+01,1.39E+01,-1.65E+00,-2.99E+00,4.33E+00,4.00E+00,5.76E+00,1.03E+01,7.05E-01
17-06-22.4CBDPA,c2O,1,3.24E+01,4.24E+01,1.58E+01,1.97E+01,-1.09E+01,3.54E+00,8.25E+00,2.13E+01,-1.14E-01,5.24E-01,5.17E-01,5.72E+00,1.65E+01,1.43E+01,-9.66E+00
17-07-01.3CBDHA,c2O,1,1.17E+01,1.12E+01,1.48E+01,1.30E+01,9.52E+00,4.03E+00,1.22E+01,1.35E+01,1.70E+01,1.60E+01,7.16E+00,6.36E+00,1.83E+00,3.13E+00,1.28E+01
17-09-17.1CBDHA,c2O,1,1.50E+01,1.40E+01,4.74E+00,5.03E+00,2.35E+01,4.99E+00,-5.16E-01,4.51E+00,-2.80E+00,1.38E+00,4.06E+00,-7.16E-04,1.37E+00,2.05E+00,2.83E+00
17-06-30.4CBDHA,c2O,1,4.11E+00,8.11E+00,5.90E+00,1.06E+01,-8.01E+00,-2.63E+00,1.16E+01,1.31E+01,-5.65E-01,-2.77E+00,4.27E+00,7.25E-02,1.72E+01,1.78E+01,2.36E-01
17-09-24.1CBDHA,c2O,1,2.99E+01,3.49E+01,2.72E+01,2.69E+01,1.19E+01,1.85E+01,2.27E+01,1.55E+01,1.64E+01,2.47E+01,3.11E+01,3.43E+01,2.75E+01,2.56E+01,2.02E+01
17-06-24.1CBDHA,c2O,1,1.54E-01,7.05E+00,-3.52E+00,1.56E+00,-1.87E+01,-1.78E+01,-6.02E+00,-4.50E-01,-6.49E+00,-6.35E+00,-1.89E+01,-7.54E+00,5.77E-01,-5.03E+00,-1.77E+01
17-06-04.1CBDHA,c2O,1,-2.35E+00,-9.76E+00,-7.73E+00,-9.79E+00,-2.84E+01,-2.62E+01,-2.44E+00,-1.07E+01,-1.01E+01,-1.44E+01,-1.51E+00,-1.18E+01,-8.87E+00,-6.25E+00,-8.41E+00
17-06-17.1CBDHA,c2O,1,1.85E+01,1.37E+01,1.64E+01,7.95E+00,-3.02E+00,-5.37E+00,6.47E+00,8.93E+00,-2.92E+00,1.08E+01,6.99E+00,3.75E+00,5.21E+00,2.91E+00,1.07E+01
17-07-01.1CBDHA,c2O,1,-1.24E+00,5.27E+00,2.71E-01,2.01E+00,3.79E+00,8.88E+00,-1.75E+00,-2.86E+00,5.95E+00,-5.30E+00,-6.71E+00,-1.82E+00,5.31E+00,1.68E+00,7.77E+00
17-06-17.2CBDHA,c2O,1,-3.92E-01,-1.81E+00,-1.23E+00,-1.26E-01,-1.54E+01,-1.15E+01,-1.25E+00,-4.03E+00,-1.50E+00,-3.75E+00,1.01E+00,-2.07E+00,-8.13E+00,-3.67E+00,-7.18E+00
17-06-15.2CBDHA,c2O,1,1.93E+01,9.64E+00,1.96E+01,1.02E+01,-7.28E+00,-1.15E+01,1.17E+01,7.60E+00,-3.06E+00,-7.84E+00,2.45E+00,-4.75E+00,4.29E+00,1.71E+00,-5.61E+00
17-06-15.4CBDHA,c2O,1,1.82E+01,1.72E+01,1.15E+01,1.46E+01,1.37E+01,8.54E+00,8.76E+00,1.09E+01,4.10E+00,7.00E+00,5.26E+00,1.09E+01,8.29E+00,8.52E+00,2.34E+01
17-07-02.3CBDHA,c2O,1,-2.76E+00,-9.92E-01,-4.23E+00,2.11E+00,-1.49E+01,-1.28E+00,-5.82E+00,1.95E+00,-1.67E+01,-1.94E+01,-1.21E+01,-1.44E+01,-7.20E+00,-6.72E+00,-9.87E+00
17-06-24.1CBDPA,c2O,1,3.68E+00,5.83E-01,4.60E+00,6.16E+00,8.28E+00,2.33E-01,3.47E+00,7.64E+00,-6.91E+00,-2.70E-01,-4.95E+00,-5.36E+00,-3.51E+00,-5.59E+00,-1.94E+01
17-07-01.2CBDHA,c2O,1,2.68E+00,5.46E+00,2.25E+00,7.58E-01,3.62E+00,-1.58E+01,-3.07E+00,-4.30E+00,7.24E+00,5.59E+00,4.65E+00,3.29E+00,1.41E+00,2.79E+00,1.59E+01
17-07-02.1CBDPA,c2O,1,7.67E+00,3.64E-01,8.16E+00,5.19E-01,3.32E+01,-2.64E+00,8.76E+00,2.43E+00,1.43E+01,1.11E+01,2.75E+00,8.03E+00,4.65E+00,7.00E-01,-1.17E+01
17-05-21.1CBDPA,c2O,1,-3.38E+00,-5.08E+00,1.36E+00,-1.44E+00,-1.50E+01,-1.46E+01,7.71E-01,-5.33E+00,2.79E+00,-3.34E-01,5.98E+00,5.54E+00,-3.58E+00,2.83E+00,1.35E+00
17-06-25.1CBDHA,c2O,1,9.66E+00,1.34E+01,8.29E+00,5.53E+00,1.55E+01,5.64E+00,1.51E+01,6.91E+00,3.54E+00,-1.82E+00,-1.01E-01,-2.18E+00,2.32E+00,5.10E+00,-7.59E+00
17-09-17.4CBDHA,c2O,1,2.46E+01,1.42E+01,2.14E+01,1.55E+01,1.15E+00,-7.09E+00,1.12E+01,8.20E+00,-6.35E+00,-1.11E+01,4.23E+00,1.39E+00,5.53E+00,9.03E+00,-4.81E-01
17-06-15.3CBDHA,c2O,1,1.11E+01,4.09E+00,5.01E+00,1.85E-01,-9.66E+00,-8.45E+00,8.97E+00,1.14E+01,-1.62E+01,-4.04E+00,2.32E+00,3.13E+00,1.04E+01,4.79E+00,7.28E+00
17-05-20.1CBDPA,c2O,1,3.59E+00,3.47E+00,6.19E+00,6.66E+00,9.99E+00,7.82E+00,3.48E+00,6.65E+00,6.74E+00,8.73E+00,7.88E+00,1.20E+01,-3.02E+00,-4.29E+00,2.14E+00
17-06-23.1CBDHA,c2O,1,-8.47E+00,-3.28E+00,-3.57E+00,5.25E+00,-1.71E+01,-2.07E+01,-6.72E+00,1.89E+00,-1.45E+01,-1.82E+01,-8.45E+00,-1.11E+01,-9.34E+00,-1.26E+01,-2.18E+01
17-05-29.3CBDPA,c2O,1,1.04E+01,7.29E+00,6.52E+00,2.45E+00,5.40E+00,1.27E+00,7.49E+00,7.31E+00,1.03E+01,1.12E+01,1.67E+00,3.28E+00,-2.61E+00,-2.14E+00,8.56E+00
17-05-29.1CBDHA,c2O,1,-5.05E+00,-4.36E+00,-2.36E-01,-3.94E+00,-1.62E+01,-8.83E+00,-5.53E+00,-6.71E+00,-3.76E+00,-1.97E+01,-5.48E+00,-1.57E+01,-7.65E+00,-8.58E+00,-1.98E+01
17-06-23.3CBDHA,c2O,1,1.46E+01,1.03E+01,1.25E+01,1.44E+01,-1.85E+00,-5.78E-01,3.56E+00,8.27E+00,2.39E-02,9.60E+00,-7.97E-01,-1.47E+00,2.74E-01,1.90E+00,9.05E+00
17-06-30.3CBDHA,c2O,1,-4.60E-01,2.90E+00,2.44E+00,7.55E+00,1.51E+01,2.16E+01,1.17E+00,6.86E+00,8.69E+00,1.25E+01,1.27E+01,1.76E+01,3.65E+00,8.23E+00,-6.89E+00
17-06-25.3CBDPA,c2O,1,-4.23E-01,-4.25E+00,1.78E+00,6.02E+00,-8.52E-01,-4.21E+00,4.21E+00,9.09E+00,-6.26E+00,-1.32E+01,2.65E+00,-1.09E+00,-8.97E+00,-6.25E+00,-9.72E+00
17-06-30.2CBDHA,c2O,1,9.17E+00,1.33E+01,7.93E+00,1.29E+01,4.89E+00,1.09E+01,2.70E+00,7.18E-02,-2.78E+00,4.91E+00,1.56E+00,5.63E+00,-4.50E+00,-6.01E+00,7.80E+00
17-05-28.2CBDHA,c2O,1,1.47E+01,8.86E+00,1.46E+01,4.79E+00,-2.05E+00,-9.93E+00,9.52E+00,4.95E+00,-1.66E+01,2.74E-01,-7.28E-01,-2.96E+00,-1.22E+01,-1.21E+01,-1.37E+01
17-06-03.4CBDHA,c2O,1,1.85E+01,2.65E+01,1.01E+01,3.01E+00,4.15E+00,-9.56E+00,2.22E+00,5.69E+00,-2.12E+01,-2.01E+00,1.35E+00,-7.30E-01,-3.05E+00,-1.21E+00,-7.87E+00
17-06-30.1CBDHA,c2O,1,2.72E+00,8.53E+00,2.63E+00,5.30E+00,2.87E+00,-1.09E+01,1.44E+01,1.16E+01,-5.07E-01,-6.19E+00,-6.93E-01,-2.06E+00,-3.50E+00,-2.52E-01,-1.28E+00
17-07-01.1CBDPA,c2O,1,-8.17E+00,-4.06E+00,-1.16E+01,9.04E-01,-2.02E+01,-2.49E+01,-3.99E+00,-3.95E+00,-1.45E+01,-1.68E+01,-9.06E+00,-7.45E+00,-1.25E+01,-7.14E+00,-8.13E+00
17-06-22.3CBDPA,c2O,1,-2.57E+00,1.45E+00,5.00E+00,7.97E+00,-6.94E+00,-1.05E+01,4.66E+00,4.77E-01,1.28E+00,1.74E+01,1.75E+00,4.46E+00,3.28E+00,7.30E-01,-9.83E+00
17-07-02.2CBDPA,c2O,1,4.14E+00,1.40E+01,8.49E+00,1.07E+01,-1.06E+00,1.13E+01,-3.92E+00,1.42E+00,6.43E+00,9.43E+00,4.78E+00,4.19E+00,1.42E+01,1.44E+01,5.22E+00
17-05-21.3CBDPA,c2O,1,-7.36E+00,-5.15E+00,-6.84E+00,-1.01E+01,-2.53E+01,-3.81E+01,-7.98E+00,-2.27E+01,-9.48E+00,-1.00E+01,-2.99E+00,-1.48E+01,-3.07E+00,-4.61E+00,-4.49E+00
17-05-21.2CBDPA,c2O,1,9.59E+00,6.95E+00,4.20E+00,4.73E+00,8.09E+00,1.09E+01,5.08E+00,8.87E+00,-4.29E+00,2.37E+00,4.29E+00,1.53E+00,-5.60E+00,-2.42E+00,-8.61E+00
17-05-21.3CBDHA,c2O,1,1.69E+01,1.96E+01,2.56E+00,3.18E+00,-3.81E-01,-1.01E+00,1.26E+01,3.48E+00,-1.78E+01,-1.64E+01,-1.24E+01,-9.74E+00,-4.23E+00,-6.22E+00,-2.86E+01
17-06-23.4CBDHA,c2O,1,1.39E+01,1.15E+01,1.13E+01,1.27E+01,-9.49E+00,1.10E+01,6.30E+00,1.60E+00,7.88E+00,4.55E+00,-4.57E-02,-2.59E+00,1.56E+00,2.84E+00,2.55E-02
17-05-21.2CBDHA,c2O,1,1.84E+01,2.11E+01,2.36E+01,1.85E+01,6.72E+00,1.40E+01,8.44E+00,2.35E+01,7.82E+00,1.06E+01,1.30E+01,1.59E+01,3.53E+00,7.14E+00,-1.83E+00
17-05-20.3CBDPA,c2O,1,9.09E+00,4.88E+00,-5.11E-03,1.33E+00,-2.75E+01,-1.67E+01,1.64E+01,1.43E+01,-1.87E+00,-8.84E+00,3.53E+00,-1.22E-01,-5.98E+00,-9.42E-01,-1.22E+00
17-06-25.4CBDPA,c2O,1,-3.84E+00,-4.93E+00,-7.84E+00,-4.61E+00,-1.58E+00,2.08E+00,9.32E-01,-4.09E+00,-1.32E+01,-1.32E+01,-2.90E+00,-7.68E+00,-1.61E+01,-1.39E+01,-1.51E+01
17-09-16.1CBDHA,c2O,1,-3.24E-01,-2.44E+00,5.54E+00,2.27E+00,5.20E+00,4.28E+00,2.32E+00,-5.42E-01,3.65E+00,1.03E+01,1.03E+01,6.45E+00,1.24E+00,5.69E+00,8.82E+00
17-06-25.2CBDHA,c2O,1,-8.65E+00,-5.74E+00,-9.06E+00,-6.65E+00,-3.23E+00,-2.70E+00,-1.14E+01,-7.83E+00,-2.30E+00,-5.36E+00,-6.34E+00,-4.28E+00,-9.37E+00,9.31E-01,-3.16E+01
17-06-25.2CBDPA,c2O,1,1.96E+01,1.50E+01,1.58E+01,1.44E+01,1.25E+00,-4.36E+00,1.48E+00,-2.62E+00,1.44E+01,9.17E+00,4.96E+00,-4.81E+00,1.12E+01,9.31E+00,7.14E+00
17-06-03.3CBDHA,c2O,1,2.56E+00,4.15E+00,-4.70E-03,6.35E+00,9.86E-01,3.73E+00,-2.73E+00,8.32E+00,2.31E+00,6.89E+00,-2.09E+00,-5.09E-01,1.09E+00,1.51E-01,-2.43E+00
17-07-01.5CBDPA,c2O,1,9.69E+00,7.11E+00,8.39E+00,5.97E+00,-2.99E+00,1.29E+01,1.60E+00,4.91E+00,4.99E+00,5.29E+00,1.06E+01,6.89E+00,4.59E+00,6.10E+00,1.35E+01
17-05-29.2CBDHA,c2O,1,-1.10E+01,-1.07E+01,-6.38E+00,-9.81E+00,-8.82E+00,1.18E+00,-3.87E+00,-1.29E+01,1.33E+01,1.59E+01,-1.31E+00,-8.22E-01,-7.20E+00,-7.86E+00,2.10E+00
17-06-22.2CBDPA,c2O,1,1.22E+01,1.27E+01,-4.22E+00,2.20E-01,2.23E+00,6.24E+00,5.82E+00,1.65E+00,-3.49E+00,-2.88E+00,2.92E+00,7.59E-01,-6.36E+00,-8.32E+00,-1.64E+01
17-06-13.2CBDHA,c2O,1,1.34E+01,1.70E+01,1.88E+01,1.36E+01,2.23E+01,2.79E+01,3.22E+01,2.18E+01,1.38E+01,1.23E+01,1.74E+01,2.42E+01,2.51E+01,2.30E+01,2.22E+01
17-06-24.3CBDPA,c2O,1,-5.88E+00,-5.21E+00,-3.55E+00,-6.05E+00,-1.92E+01,-1.08E+01,1.32E+01,6.48E+00,-1.00E+01,-2.09E+01,-8.10E+00,-1.07E+01,-1.08E+01,-8.05E+00,-1.00E+01
17-06-11.2CBDHA,c2O,1,2.28E+01,3.30E+01,1.55E+01,2.25E+01,4.73E+00,1.21E+01,2.90E+01,1.15E+01,-4.95E-01,1.65E+01,3.52E+00,8.60E+00,1.47E+01,1.68E+01,1.56E+01
17-06-18.4CBDHA,c2O,1,-3.83E+00,6.49E+00,-6.31E+00,5.70E+00,-1.14E+01,-4.78E-01,-5.28E+00,1.13E+01,9.38E+00,1.09E+01,-9.43E+00,-4.89E+00,-2.50E+00,-7.19E+00,-5.70E+00
17-06-24.2CBDHA,c2O,1,3.61E+00,4.18E+00,5.21E+00,9.52E+00,7.21E+00,6.09E+00,-6.69E+00,3.21E+00,-4.36E+00,5.23E-01,1.15E+00,-1.43E+00,-1.13E+01,-1.09E+01,5.56E+00
17-06-23.2CBDHA,c2O,1,-3.61E+00,-3.14E+00,-4.63E+00,-2.41E+00,-9.72E+00,-1.85E+01,3.34E-02,2.60E+00,-1.25E+01,-3.75E+01,-2.80E+00,-1.02E+01,1.43E+00,-3.38E-01,-6.32E+00
17-07-01.4CBDPA,c2O,1,-1.29E+01,-1.59E+01,-7.75E-01,-1.11E+01,1.50E+00,-8.12E+00,-4.79E+00,-5.85E+00,-2.96E+01,-1.76E+01,-2.25E+01,-2.89E+01,-2.57E+01,-3.10E+01,-2.54E+01
17-04-29.1CBDPC,c2O,2,6.74E+00,1.10E+01,1.39E+01,1.51E+01,2.51E+01,2.26E+01,8.29E+00,3.29E+00,-2.02E+01,8.17E+00,1.37E+01,2.08E+01,-1.97E+00,-4.76E+00,7.15E+00
16-08-14.1CBDPC,c2O,2,1.18E+01,1.52E+01,7.74E+00,2.81E+00,-6.12E-01,1.76E+01,1.03E+01,3.96E+00,3.92E+00,5.60E+00,1.77E+00,7.80E+00,9.21E+00,1.71E+00,-6.67E+00
16-08-17.3CBDPC,c2O,2,-1.14E+01,-2.68E+00,-2.00E+01,-2.15E+01,-1.80E+01,-2.49E+01,-2.42E+01,-1.94E+01,-1.60E+01,-1.42E+01,2.38E+00,1.02E+00,9.30E-01,5.40E+00,-2.73E+00
17-05-28.2CBDPC,c2O,2,1.88E+00,7.76E+00,5.62E+00,7.06E+00,-1.06E+01,5.35E+00,-2.78E+00,2.25E+00,6.07E+00,1.45E+01,-1.14E+01,-3.02E+00,7.12E-01,-5.21E+00,-1.24E+01
17-08-28.1CBDHC,c2O,2,1.01E+01,1.25E+01,2.79E+00,1.67E+00,-2.59E+01,-2.57E+00,-6.27E-01,4.20E+00,-4.39E+00,-3.99E+00,7.82E+00,4.84E+00,9.31E+00,1.38E+01,1.90E+00
17-07-17.1CBDHC,c2O,2,1.83E+00,-4.76E+00,2.90E+00,-6.26E-01,8.97E+00,-5.33E+00,-7.11E+00,-1.36E+01,-2.71E+00,-7.28E+00,-2.88E+00,-7.75E+00,-9.28E+00,-8.48E+00,2.64E+00
16-08-29.1CBDPC,c2O,2,-1.41E+01,-1.82E+01,-9.19E+00,-9.07E+00,5.90E-01,-6.25E+00,-1.44E+01,-2.29E+01,-7.55E+00,-6.94E+00,2.64E+00,-1.37E+00,-5.87E+00,-1.03E+01,-1.48E+00
16-10-06.2CBDPC,c2O,2,5.73E+00,4.03E+00,-1.22E+01,-8.40E+00,-3.94E+00,-1.11E+01,-5.99E-01,-1.43E+01,-2.36E+01,-3.08E+01,-2.41E+00,-1.35E+01,4.13E+00,-1.04E+00,-7.62E+00
17-04-30.4CBDHC,c2O,2,7.79E+00,1.16E+01,-4.46E-01,3.30E+00,-1.97E+01,-1.28E+01,3.60E-01,9.20E+00,-7.83E+00,-6.03E+00,-1.07E+01,-5.37E+00,5.74E-01,8.38E+00,-9.03E-01
17-01-18.2CBDPC,c2O,2,-5.79E+00,1.09E+00,3.98E+00,-2.85E+00,-1.07E+01,-1.11E+01,-4.34E+00,-2.80E+00,-6.93E+00,-5.20E+00,8.17E-01,2.14E+00,-1.18E+01,-6.62E+00,-9.48E+00
17-08-12.2CBDHC,c2O,2,7.82E-01,2.83E+00,3.90E+00,2.46E+00,5.49E-01,7.99E+00,-1.24E+00,-4.14E+00,9.12E+00,1.49E+00,9.30E+00,1.23E+01,9.79E-01,1.17E-01,1.08E+01
17-04-23.4CBDHC,c2O,2,-3.35E+00,-3.06E+00,2.62E+00,-2.37E+00,-7.37E+00,1.38E+01,1.20E+01,6.52E-01,-2.26E+00,-4.31E+00,6.08E-01,-8.52E-02,-6.58E+00,-7.93E+00,-1.64E+01
16-12-24.2CBDPC,c2O,2,2.79E+00,5.84E+00,9.17E-01,2.87E+00,1.35E+01,2.02E+01,3.26E+00,8.98E+00,1.13E+01,1.07E+01,8.19E+00,9.49E+00,9.55E-02,-3.53E+00,-3.81E+00
17-08-12.1CBDHC,c2O,2,-5.65E+00,-3.16E+00,-7.98E+00,-6.54E+00,-8.81E+00,4.08E+00,-8.01E+00,1.10E+01,-1.12E+01,-2.36E+00,8.72E+00,1.10E+01,1.08E+01,1.14E+00,-3.17E+00
16-10-22.2CBDPC,c2O,2,-5.75E+00,-4.71E-01,-1.23E+01,-3.74E+00,-2.46E+01,-2.88E+01,-2.82E+00,2.47E+00,-1.93E+01,-4.92E+00,-1.83E+01,-5.51E+00,-2.64E+00,3.35E+00,1.38E+01
16-12-27.2CBDPC,c2O,2,-5.13E+00,-2.18E+00,-1.16E+00,-3.50E+00,-2.46E+00,-9.17E+00,3.54E+00,3.19E+00,-4.59E+00,-9.15E+00,-1.06E+01,-1.08E+01,-3.27E+00,-2.50E+00,-1.05E+01
17-08-24.2CBDHC,c2O,2,8.81E+00,8.06E+00,5.51E+00,3.38E+00,3.05E+00,-3.51E+00,3.84E+00,1.27E+00,-4.18E+00,-7.25E+00,6.55E+00,1.43E+00,-3.01E+00,-7.13E+00,4.94E-02
17-09-17.2CBDHC,c2O,2,2.45E+01,2.23E+01,1.69E+01,1.27E+01,2.28E+00,1.36E+01,1.47E+01,1.19E+01,1.47E+01,1.49E+01,3.34E+00,2.49E+00,1.15E+01,1.17E+01,1.78E+01
17-04-09.1CBDPC,c2O,2,-6.70E+00,-8.86E+00,-5.67E+00,-7.94E-01,3.18E+00,4.33E+00,1.63E+00,-2.87E+00,-7.02E+00,9.62E-01,8.93E+00,7.75E+00,-3.80E+00,-4.08E+00,-3.93E+00
17-04-30.3CBDHC,c2O,2,8.98E+00,4.18E+00,2.46E+00,9.23E+00,2.75E+01,2.54E+01,2.43E+00,1.51E+00,-2.61E+01,-9.31E-02,4.15E-01,2.19E+00,1.68E+01,1.29E+01,8.12E+00
16-11-13.1CBDPC,c2O,2,-8.78E+00,-1.35E+01,-5.11E+00,-5.47E+00,-6.19E-01,3.75E+00,-5.68E+00,-5.35E+00,-2.71E-01,-1.57E+01,-5.40E-01,-1.35E+00,-1.66E+01,-1.22E+01,-1.26E+01
17-01-17.3CBDPC,c2O,2,-5.00E+00,-4.18E+00,-7.54E-01,2.63E+00,-1.05E+01,-5.99E+00,-2.07E+01,-1.27E+00,9.24E+00,9.91E+00,1.11E+01,2.80E+00,-2.70E+00,-5.86E+00,6.12E+00
16-09-11.4CBDPC,c2O,2,7.01E+00,2.56E+00,1.13E+01,9.79E+00,9.43E+00,2.07E+01,9.81E+00,8.08E+00,2.00E+01,2.79E+01,1.17E+01,1.33E+01,7.30E+00,5.13E+00,8.73E+00
16-08-11.1CBDPC,c2O,2,1.25E+01,1.06E+01,9.31E+00,-5.30E+00,8.96E+00,-1.08E+01,-4.47E+00,-7.28E+00,8.33E+00,-8.27E+00,7.52E+00,-5.48E+00,1.59E+01,7.99E+00,3.91E+01
17-04-30.1CBDHC,c2O,2,-1.13E+00,-3.56E+00,3.22E-01,9.30E-01,1.96E+00,1.57E+00,-7.30E+00,-2.30E+01,6.71E-01,4.48E-01,1.61E+01,-1.37E+00,-8.30E+00,-9.23E+00,-2.40E+01
16-12-11.3CBDPC,c2O,2,1.03E+01,1.39E+01,1.24E+01,4.91E+00,3.13E+00,-6.47E+00,2.99E+01,2.60E+01,2.14E+00,-5.24E+00,7.76E+00,4.93E+00,1.51E-01,-4.49E+00,-1.73E+01
17-04-29.4CBDPC,c2O,2,2.74E+00,4.96E+00,3.68E+00,2.74E+00,-5.10E+00,1.63E+01,1.07E+00,-1.11E+01,-3.23E+01,3.93E+00,1.21E+00,1.76E+00,-6.89E+00,-3.11E+00,-1.15E+01
